season,country,page_name,value
2016-2017,belgium,Flavivirus,108.47706908482708
2016-2017,belgium,Flegmone,-40.093855544450875
2016-2017,belgium,Melena,-50.102996387705474
2016-2017,belgium,HBsAg,-62.854646799147545
2016-2017,belgium,Stridor,-75.90832470752497
2017-2018,belgium,Flavivirus,259.8997001178639
2017-2018,belgium,Koorts,147.048093516158
2017-2018,belgium,Tabaksringvlekvirus,90.18812898729612
2017-2018,belgium,Alexie,87.15433497599271
2017-2018,belgium,Griep,80.41268853160501
2017-2018,belgium,Triple_gene_block,80.14034712974234
2017-2018,belgium,Ebola-uitbraak_in_West-Afrika_in_2014,76.16502950893742
2017-2018,belgium,Picornavirus,55.185355251250684
2017-2018,belgium,Mycovirus,38.76846209452991
2017-2018,belgium,Ataxie,-4.132666323418309
2017-2018,belgium,Weduwnaarspijn,-25.667414928262012
2017-2018,belgium,Stridor,-43.00997160476366
2017-2018,belgium,Flegmone,-85.06368803023486
2017-2018,belgium,Melena,-144.8800036460947
2018-2019,belgium,Griep,78.96060702061853
2018-2019,belgium,Stridor,-73.70743969877502
2018-2019,belgium,Melena,-232.98235769601686
