season,country,page_name,value
2008-2009,USA,Avian_influenza,1.9647228185082122
2008-2009,USA,Influenza_research,-0.1778178373622161
2008-2009,USA,year,-0.3087690195617073
2008-2009,USA,Fever,-2.6350218162806596
2009-2010,USA,Avian_influenza,2.4657017843875595
2009-2010,USA,Common_cold,0.7938305147180453
2009-2010,USA,Main_Page,0.43553423629007537
2009-2010,USA,Centers_for_Disease_Control_and_Prevention,-0.0780300656056566
2009-2010,USA,Influenza_virus,-1.3814007144671916
2009-2010,USA,year,-1.8874429054663187
2009-2010,USA,Fever,-3.039491360936854
2009-2010,USA,week,-3.1021200910175954
2010-2011,USA,Human_influenza,12.759709957612374
2010-2011,USA,Tamiflu,9.014980962835892
2010-2011,USA,Common_cold,5.322339545661696
2010-2011,USA,Avian_influenza,2.7313969649828387
2010-2011,USA,Influenza_vaccine,1.7273195273315458
2010-2011,USA,Influenza_research,1.6883406157658405
2010-2011,USA,Influenza_A_virus,1.0192986957462848
2010-2011,USA,Influenza_A_virus_subtype_H5N2,0.7695973179707782
2010-2011,USA,Pandemic,0.6377998058749573
2010-2011,USA,Influenza-like_illness,0.31952845614604075
2010-2011,USA,Influenza_A_virus_subtype_H3N1,0.017200230400878737
2010-2011,USA,European_Centre_for_Disease_Prevention_and_Control,-0.02887230223817949
2010-2011,USA,Main_Page,-0.1427263428298102
2010-2011,USA,Epidemic,-0.3301587264149272
2010-2011,USA,Fever,-1.490024425277519
2010-2011,USA,Vaccine,-1.8678984609771727
2010-2011,USA,year,-2.3335293263594563
2010-2011,USA,Influenza,-2.4912138234640033
2010-2011,USA,Influenza_treatment,-3.207928734753875
2010-2011,USA,week,-3.2081359718202145
2010-2011,USA,Oseltamivir,-5.430540945492997
2010-2011,USA,Centers_for_Disease_Control_and_Prevention,-5.92565952161588
2010-2011,USA,Flu_season,-9.607440389099695
2011-2012,USA,Influenza_A_virus_subtype_H1N1,3.479914945953688
2011-2012,USA,Common_cold,2.789891999901134
2011-2012,USA,Influenza_A_virus,2.731188863990528
2011-2012,USA,Avian_influenza,2.715259544627209
2011-2012,USA,Influenza_A_virus_subtype_H3N2,1.4457186107434914
2011-2012,USA,Influenza_A_virus_subtype_H5N1,0.21977312912903993
2011-2012,USA,European_Centre_for_Disease_Prevention_and_Control,0.21037873535630225
2011-2012,USA,Influenza-like_illness,-0.7534505861061074
2011-2012,USA,Vaccine,-0.9065484848342448
2011-2012,USA,Influenza_virus,-1.2169660093141854
2011-2012,USA,Main_Page,-1.226393879627017
2011-2012,USA,Fever,-1.346323370227173
2011-2012,USA,year,-1.4822592914177535
2011-2012,USA,Epidemic,-1.5969601133846079
2011-2012,USA,week,-1.7170534058287732
2012-2013,USA,Influenza_A_virus_subtype_H1N1,8.06005743754177
2012-2013,USA,Tamiflu,6.229333911664704
2012-2013,USA,Common_cold,4.1200503043411105
2012-2013,USA,Avian_influenza,3.7175480428827417
2012-2013,USA,Influenza_A_virus,3.1960122146735106
2012-2013,USA,Influenza_vaccine,1.786301883765119
2012-2013,USA,Influenza_A_virus_subtype_H3N2,1.3008445689203865
2012-2013,USA,Influenza,0.490012794904487
2012-2013,USA,Centers_for_Disease_Control_and_Prevention,0.3190707146079244
2012-2013,USA,European_Centre_for_Disease_Prevention_and_Control,0.2747945325648624
2012-2013,USA,Influenza-like_illness,0.19804682930911993
2012-2013,USA,Influenza_A_virus_subtype_H3N1,0.15918019228483002
2012-2013,USA,Pandemic,0.09301827980784595
2012-2013,USA,Vaccine,-0.49536560068628904
2012-2013,USA,Fever,-0.9587136686990991
2012-2013,USA,Influenza_A_virus_subtype_H5N2,-0.9634662075660773
2012-2013,USA,Influenza_virus,-1.2349997665027679
2012-2013,USA,Main_Page,-1.4881837285348716
2012-2013,USA,year,-1.9715524028213784
2012-2013,USA,week,-2.4353291273782807
2012-2013,USA,Epidemic,-3.434245777962208
2012-2013,USA,Flu_season,-3.6603859404389567
2012-2013,USA,Oseltamivir,-9.451018035360885
