season,country,page_name,value
2016-2017,germany,Lassafieber,2.4292974985026667
2016-2017,germany,Sachsen-Anhalt,2.042513310503876
2016-2017,germany,Schweineinfluenza,1.7407628544573686
2016-2017,germany,Influenza-A-Virus_H1N1,1.3985535623454854
2016-2017,germany,Epidemien,1.3537395587233445
2016-2017,germany,Grippe,1.3001868773768863
2016-2017,germany,Wendell_Meredith_Stanley,1.2438110127628637
2016-2017,germany,Nationaler_Pandemieplan,0.6890933435223309
2016-2017,germany,MMW-Fortschritte_der_Medizin,0.05197878284762569
2016-2017,germany,Polymerase-Kettenreaktion,-0.03758332620775319
2016-2017,germany,Erkrankungen_des_Atmungssystems,-0.07185390454687167
2016-2017,germany,World_Health_Organization,-0.20628651546996157
2016-2017,germany,Kapsid,-0.35625887844236076
2016-2017,germany,1920,-0.4664516034610777
2016-2017,germany,Influenzapandemie,-0.4781342464942847
2016-2017,germany,European_Centre_for_Disease_Prevention_and_Control,-1.2606162530478702
2016-2017,germany,2005,-1.5444802135631681
2016-2017,germany,Hoffmann-La_Roche,-2.3290261569956816
2016-2017,germany,Allergie,-5.144519455123895
2016-2017,germany,Influenza,-5.371655416130082
2017-2018,germany,Grippe,8.92528395243285
2017-2018,germany,Neuraminidase-Hemmer,8.24309667221009
2017-2018,germany,Kohortenisolierung,3.5699951096005513
2017-2018,germany,Lassafieber,3.461274392190444
2017-2018,germany,Masern,2.147837857459987
2017-2018,germany,Zytokinsturm,1.3158968861565894
2017-2018,germany,14._Februar,1.3119378606158743
2017-2018,germany,Neuraminidase,1.2585001110519023
2017-2018,germany,Sachsen-Anhalt,1.1953158255020435
2017-2018,germany,Schweineinfluenza,0.9637121483105208
2017-2018,germany,Europäische_Schlafkrankheit,0.9183645487308191
2017-2018,germany,Asiatische_Grippe,0.7288861983369359
2017-2018,germany,Stammzelltransplantation,0.5615382504380269
2017-2018,germany,Virologie,0.3083119916553388
2017-2018,germany,Antigenerbsünde,0.08839040457388517
2017-2018,germany,Selbstmedikation,0.03040484114684552
2017-2018,germany,Alexander_S._Kekulé,0.010768008499011238
2017-2018,germany,1969,-0.1417377070261889
2017-2018,germany,RIG-I,-0.1994853265559853
2017-2018,germany,World_Health_Organization,-0.2644355989337281
2017-2018,germany,European_Centre_for_Disease_Prevention_and_Control,-0.4621473634389012
2017-2018,germany,Novartis,-0.5431654661092972
2017-2018,germany,year,-0.8544443922013117
2017-2018,germany,Impfen,-0.8877482432028454
2017-2018,germany,Johannes_Paul_II.,-0.9137643002945016
2017-2018,germany,2005,-1.1502246446766966
2017-2018,germany,GlaxoSmithKline,-1.1566922295224524
2017-2018,germany,Zellkultur,-1.2829422987833878
2017-2018,germany,Dispositionsprophylaxe,-1.3831227811974585
2017-2018,germany,Proteomik,-1.4915874528481616
2017-2018,germany,Preußen,-1.4934852842970112
2017-2018,germany,Influenza,-1.493690000825472
2017-2018,germany,Zikavirus-Epidemie_2015/2016,-2.4874210850313716
2017-2018,germany,Allergie,-4.206181140685848
2018-2019,germany,Influenza-Schnelltest,32.194600294232394
2018-2019,germany,Rifttalfieber,19.168961302726522
2018-2019,germany,Multiple_Sklerose,5.476871848185293
2018-2019,germany,Neuraminidase-Hemmer,5.067844401666354
2018-2019,germany,Frühsommer-Meningoenzephalitis,4.706294036750365
2018-2019,germany,Sachsen-Anhalt,4.27018569064816
2018-2019,germany,Kohortenisolierung,3.7364708194507235
2018-2019,germany,Allen_Welsh_Dulles,3.2728225981812775
2018-2019,germany,Liste_der_Krankheiten_des_Atmungssystems_nach_ICD-10,3.244403619769355
2018-2019,germany,Adamantan,2.706836943610278
2018-2019,germany,Orthomyxoviridae,2.537059925489682
2018-2019,germany,Schweineinfluenza,1.9968347241706104
2018-2019,germany,Pneumokokken,1.9104305770572574
2018-2019,germany,Epidemiologische_Überwachung,1.7429038121007285
2018-2019,germany,Virologie,1.598959924676325
2018-2019,germany,Grippe,1.5821443315606567
2018-2019,germany,Neuraminidase,1.3946265602971557
2018-2019,germany,Alexander_S._Kekulé,1.2842484621265216
2018-2019,germany,Tollwut,1.2487454719898188
2018-2019,germany,Myxoviren,1.0279348585346717
2018-2019,germany,Bertolt_Brecht,1.0221629934093812
2018-2019,germany,Antikörper,0.9266151377927616
2018-2019,germany,Jakow_Michailowitsch_Swerdlow,0.8363298092382321
2018-2019,germany,Frettchen,0.8124103904613508
2018-2019,germany,Impfkritik,0.7355827376604955
2018-2019,germany,Russische_Grippe,0.7014104968668932
2018-2019,germany,Stammzelltransplantation,0.53218130971543
2018-2019,germany,Superinfektion,0.3242111874624875
2018-2019,germany,Peramivir,0.32086149426915067
2018-2019,germany,Krankheit,0.28152728048635817
2018-2019,germany,Deutsch-Sowjetischer_Krieg,0.2027261678692463
2018-2019,germany,Preußen,0.1911821620654946
2018-2019,germany,Robert_Koch,0.07202087148170944
2018-2019,germany,Rhinitis,0.029577331074060475
2018-2019,germany,Influenzapandemie,-0.0035940368959100667
2018-2019,germany,Infektionsepidemiologisches_Jahrbuch,-0.006013176075120792
2018-2019,germany,Gendrift,-0.05650288711511425
2018-2019,germany,Influenzavirus,-0.06313373409396734
2018-2019,germany,Intercell,-0.3021963228394068
2018-2019,germany,Cholecalciferol,-0.30910154648647
2018-2019,germany,RIG-I,-0.31455560276977423
2018-2019,germany,Pest,-0.3580539489168237
2018-2019,germany,Hantaviren,-0.41016995556960767
2018-2019,germany,Impfen,-0.42555909873834813
2018-2019,germany,Myositis,-0.48414132257266257
2018-2019,germany,European_Centre_for_Disease_Prevention_and_Control,-0.5419789771298931
2018-2019,germany,Zellkultur,-0.8562982624039389
2018-2019,germany,Stomatitis_vesicularis,-0.8740885383815277
2018-2019,germany,Lymphozytäre_Choriomeningitis,-1.144418114427052
2018-2019,germany,Sialinsäuren,-1.2578326810214258
2018-2019,germany,Eukalyptusöl,-1.3367655672353098
2018-2019,germany,Influenza,-1.386249076916834
2018-2019,germany,Hoffmann-La_Roche,-1.407337208260121
2018-2019,germany,year,-1.912024896896761
2018-2019,germany,Verbreitung_von_H5N1,-1.9720437344830712
2018-2019,germany,Leitsymptom,-2.4492671664799093
2018-2019,germany,Allergie,-3.3087354157468556
2018-2019,germany,Zikavirus-Epidemie_2015/2016,-3.4846682644505007
2018-2019,germany,Zecken,-4.021699419166927
2018-2019,germany,Durchfall,-5.38414382077673
2018-2019,germany,Infektion,-5.752164253339741
